airline,departure_time_scheduled,date_depart,departure_city,destination_city,country,departure_time_difference,departure_status
Austrian,06:00:00,2024-09-02,London,Vienna,Austria,11,Delayed
Swiss International Airlines,06:00:00,2024-09-02,London,Zurich,Switzerland,6,Delayed
British Airways,06:15:00,2024-09-02,London,Malaga,Spain,11,Delayed
Air France,06:15:00,2024-09-02,London,Paris,France,6,Delayed
British Airways,06:15:00,2024-09-02,London,Edinburgh,United Kingdom,13,Delayed
British Airways,06:30:00,2024-09-02,London,Aberdeen,United Kingdom,18,Delayed
Klm - Royal Dutch Airlines,06:30:00,2024-09-02,London,Amsterdam,Netherlands,13,Delayed
Lufthansa,06:30:00,2024-09-02,London,Frankfurt,Germany,30,Delayed
Lot Polish Airlines,06:30:00,2024-09-02,London,Warsaw,Poland,16,Delayed
British Airways,06:35:00,2024-09-02,London,Barcelona,Spain,14,Delayed
British Airways,06:35:00,2024-09-02,London,Frankfurt,Germany,19,Delayed
British Airways,06:35:00,2024-09-02,London,Geneva,Switzerland,11,Delayed
Turkish Airlines,06:35:00,2024-09-02,London,Istanbul,Turkey,21,Delayed
British Airways,06:35:00,2024-09-02,London,Prague,Czech Republic,42,Delayed
British Airways,06:40:00,2024-09-02,London,Rome,Italy,18,Delayed
Sas - Scandinavian Airlines,06:40:00,2024-09-02,London,Stockholm,Sweden,10,Delayed
Sas - Scandinavian Airlines,06:40:00,2024-09-02,London,Copenhagen,Denmark,12,Delayed
British Airways,06:45:00,2024-09-02,London,Amsterdam,Netherlands,23,Delayed
Aer Lingus,06:45:00,2024-09-02,London,Dublin,Ireland,6,Delayed
British Airways,06:45:00,2024-09-02,London,Manchester,United Kingdom,25,Delayed
Brussels Airlines,06:50:00,2024-09-02,London,Brussels,Belgium,12,Delayed
British Airways,06:50:00,2024-09-02,London,Dublin,Ireland,17,Delayed
British Airways,06:50:00,2024-09-02,London,Zurich,Switzerland,15,Delayed
Lufthansa,06:55:00,2024-09-02,London,Munich,Germany,16,Delayed
British Airways,06:55:00,2024-09-02,London,Vienna,Austria,46,Delayed
British Airways,07:00:00,2024-09-02,London,Edinburgh,United Kingdom,15,Delayed
Swiss International Airlines,07:00:00,2024-09-02,London,Geneva,Switzerland,13,Delayed
British Airways,07:00:00,2024-09-02,London,Larnaca,Cyprus,24,Delayed
British Airways,07:00:00,2024-09-02,London,Marseille,France,10,Delayed
British Airways,07:05:00,2024-09-02,London,Stockholm,Sweden,17,Delayed
British Airways,07:05:00,2024-09-02,London,Copenhagen,Denmark,19,Delayed
Sas - Scandinavian Airlines,07:05:00,2024-09-02,London,Oslo,Norway,7,Delayed
British Airways,07:10:00,2024-09-02,London,Athens,Greece,58,Delayed
British Airways,07:10:00,2024-09-02,London,Glasgow,United Kingdom,10,Delayed
British Airways,07:10:00,2024-09-02,London,Munich,Germany,44,Delayed
British Airways,07:15:00,2024-09-02,London,Hamburg,Germany,16,Delayed
British Airways,07:15:00,2024-09-02,London,Newcastle,United Kingdom,29,Delayed
British Airways,07:15:00,2024-09-02,London,Thessaloniki,Greece,28,Delayed
British Airways,07:20:00,2024-09-02,London,Paris,France,30,Delayed
British Airways,07:20:00,2024-09-02,London,Gibraltar,United Kingdom,46,Delayed
British Airways,07:20:00,2024-09-02,London,Lisbon,Portugal,14,Delayed
British Airways,07:20:00,2024-09-02,London,Nice,France,28,Delayed
British Airways,07:20:00,2024-09-02,London,Split,Croatia,37,Delayed
