airline,average_departure_time_difference
Austrian,35.75
Swiss International Airlines,42.25252525252525
British Airways,40.67249037607344
Air France,21.954918032786885
Klm - Royal Dutch Airlines,40.5735294117647
Lufthansa,17.24884792626728
Lot Polish Airlines,20.41111111111111
Turkish Airlines,33.49740932642487
Sas - Scandinavian Airlines,25.601503759398497
Aer Lingus,31.16015625
Brussels Airlines,19.930232558139537
Jetblue,18.6
Finnair,12.053691275167786
United Airlines,29.662037037037038
Tap Portugal,49.21818181818182
Virgin Atlantic,42.37591240875913
American Airlines,40.3141592920354
Qatar Airways,26.441666666666666
Air Canada,31.511627906976745
Eurowings,18.980263157894736
Loganair,48.14
Emirates,41.310810810810814
Iberia,40.62264150943396
Delta Air Lines,25.738095238095237
Singapore Airlines,39.416666666666664
Etihad Airways,41.575
Japan Airlines,36.294117647058826
Air India,57.625
Saudia,38.82608695652174
Gulf Air,32.27777777777778
Vueling,61.53846153846154
Km Malta Airlines,38.8421052631579
Malaysia Airlines,37.10526315789474
Qantas,52.5
Aegean Airlines,28.61904761904762
Cathay Pacific Airways,48.95454545454545
Thai Airways,33.64705882352941
Mea,35.27777777777778
Icelandair,17.941176470588236
Air Serbia,39.513513513513516
Westjet,37.111111111111114
Tarom,83.0
Egyptair,69.0
El Al,62.791666666666664
Kuwait Airways,40.93333333333333
Royal Jordanian,32.77777777777778
Bulgaria Air,33.733333333333334
Royal Air Maroc,44.35
Kenya Airways,57.875
Air Algerie,57.25
Vietnam Airlines,51.0
Ana,33.44444444444444
Korean Air,43.3
Croatia Airlines,32.95454545454545
Air China,24.19047619047619
Asiana Airlines,46.44444444444444
Oman Air,35.77777777777778
China Southern,24.85
Ethiopian Airlines,32.44444444444444
Latam Airlines,20.88888888888889
Rwandair,27.0
China Eastern,18.333333333333332
Sri Lankan Airlines,45.333333333333336
Eva Air,34.5
China Airlines,44.857142857142854
Hainan Airlines,9.521739130434783
Avianca,25.77777777777778
Vistara,44.888888888888886
Aeromexico,19.333333333333332
Beijing Capital Airlines,17.333333333333332
Uzbekistan Airways,39.666666666666664
Tunisair,26.333333333333332
Iran Air,45.75
Air Astana,57.0
Azerbaijan Airlines,19.666666666666668
Royal Brunei Airlines,60.333333333333336
Biman Bangladesh Airlines,26.5
Tianjin Airlines,10.25
Shenzhen Airlines,9.0
Sundair,-0.7843137254901961
Easyjet Europe,15.677966101694915
Ryanair,11.945850914205344
Klm Royal Dutch Airlines,10.770833333333334
Tap Air Portugal,35.3741362290227
Transavia France,21.9
Austrian Airlines,5.093457943925234
Iberia Express,6.67816091954023
Swiss,15.791469194312796
Sun Express,12.946859903381643
Air Baltic,20.119402985074625
Volotea Airlines,18.55
Luxair,7.844444444444444
Danish Air Transport,26.10810810810811
Air Cairo,7.916666666666667
Norwegian Air Shuttle,9.160919540229886
Wizz Air,16.882978723404257
Pegasus Airlines,36.53741496598639
Easyjet Uk,15.496
Sas-Scandinavian Airlines System,4.351351351351352
Corendon Airlines Europe,1.7857142857142858
Vueling Airlines,19.720338983050848
Nouvelair Tunisie,5.565217391304348
El Al- Israel Airlines,7.6571428571428575
Ur Airlines,0.0
Scoot,0.0
Freebird Airlines,21.304347826086957
One-Two-Go Airlines,3.2666666666666666
Valujet Airlines,4.875
Norwegian Air,15.537037037037036
Egypt Air,23.925925925925927
Ryanair Uk,22.0
Norse Atlantic Airways,2.5
Easyjet Switzerland,21.395833333333332
Aero Services Executive,11.65625
Fly One,21.75
Air Malta,10.307692307692308
Corendon Airlines,23.333333333333332
Windjet,0.0
Bluebird Airways,16.916666666666668
Georgian Airways,1.4285714285714286
Med-View Airline,0.0
Israir,27.666666666666668
Nesma Airlines,0.0
Star East Airlines,0.0
Iraqi Airways,0.0
Lauda Europe,0.0
Zimex Aviation,0.0
Tui Fly,0.0
Alitalia,0.0
Flynas,0.0
Germanwings,0.0
Eastern Airways,0.0
Titan Airways,0.0
Amelia International,0.0
Malta Air,0.0
Jetline International,0.0
Eagle Aviation Gmbh,0.0
Air Europa,40.65384615384615
Enter Air,0.0
Alba Star,0.0
Pan Européenne Air Service,0.0
,
Private Wings,0.0
Arkia Israeli Airlines,190.0
Stp Airways,29.0
Wizz Air Hungary,89.55555555555556
Klm,45.333333333333336
Azores Airlines,30.955555555555556
Swiss International,41.473684210526315
Air Transat,43.81818181818182
Transavia,41.0
Taag,27.833333333333332
Tam Linhas Aéreas,72.83333333333333
Azul Linhas Aereas,26.0
Easyjet Airlines,105.71428571428571
Beijing Capital,29.0
World2Fly Portugal,25.2
Tacv,87.0
Orbest,50.333333333333336
Wizz Air Uk,33.666666666666664
Smartwings A.S.,29.0
Nouvelair,53.5
Flyone,62.666666666666664
Lam,83.66666666666667
Norwegian Air Sweden,41.8
Air Nostrum,56.0
Air Albania,38.0
"Hi Fly, Ltd",107.0
Volotea,42.0
Wizz Air Malta,96.5
Flyplay,18.0
Jet2.Com,43.0
Jettime A/S,17.0
Neos,94.0
Israir Airlines,72.0
Air Horizont,41.0
