airline,day,avg_day_airline
Austrian,2,18.5
Swiss International Airlines,2,41.0
British Airways,2,41.0
Air France,2,19.23076923076923
Klm - Royal Dutch Airlines,2,48.5
Lufthansa,2,25.57777777777778
Lot Polish Airlines,2,32.0
Turkish Airlines,2,45.4
Sas - Scandinavian Airlines,2,30.466666666666665
Aer Lingus,2,21.08695652173913
Brussels Airlines,2,11.0
Jetblue,2,23.333333333333332
Finnair,2,11.875
United Airlines,2,15.380952380952381
Tap Portugal,2,33.4
Virgin Atlantic,2,32.86206896551724
American Airlines,2,32.30769230769231
Qatar Airways,2,37.55555555555556
Air Canada,2,21.142857142857142
Eurowings,2,17.4
Loganair,2,72.83333333333333
Emirates,2,40.714285714285715
Iberia,2,24.285714285714285
Delta Air Lines,2,18.0
Singapore Airlines,2,35.25
Etihad Airways,2,36.5
Japan Airlines,2,34.5
Air India,2,37.5
Saudia,2,37.6
Gulf Air,2,41.0
Vueling,2,41.5
Km Malta Airlines,2,26.0
Malaysia Airlines,2,35.5
Qantas,2,61.0
Aegean Airlines,2,25.5
Cathay Pacific Airways,2,39.75
Thai Airways,2,35.0
Mea,2,41.0
Icelandair,2,18.75
Air Serbia,2,55.0
Westjet,2,15.0
Tarom,2,68.0
Egyptair,2,56.666666666666664
El Al,2,67.0
Kuwait Airways,2,43.0
Royal Jordanian,2,28.0
Bulgaria Air,2,53.0
Royal Air Maroc,2,29.0
Kenya Airways,2,27.0
Air Algerie,2,4.0
Vietnam Airlines,2,34.0
Ana,2,19.0
Korean Air,2,26.0
Croatia Airlines,2,83.5
Air China,2,26.0
Asiana Airlines,2,19.0
Oman Air,2,39.0
China Southern,2,16.0
Ethiopian Airlines,2,47.0
Latam Airlines,2,26.0
Rwandair,2,16.0
China Eastern,2,20.0
Sri Lankan Airlines,2,82.0
Eva Air,2,18.0
China Airlines,2,46.0
Hainan Airlines,2,59.0
Avianca,2,13.0
Vistara,2,45.0
Aeromexico,2,26.0
Beijing Capital Airlines,2,25.0
Tap Portugal,3,30.333333333333332
Austrian,3,28.6
Swiss International Airlines,3,35.166666666666664
British Airways,3,35.92307692307692
Air France,3,40.38461538461539
Klm - Royal Dutch Airlines,3,24.125
Lufthansa,3,25.227272727272727
Lot Polish Airlines,3,18.5
Turkish Airlines,3,33.45454545454545
Sas - Scandinavian Airlines,3,21.0
Aer Lingus,3,14.5
Brussels Airlines,3,18.285714285714285
Jetblue,3,15.666666666666666
Finnair,3,11.25
United Airlines,3,30.35
Delta Air Lines,3,53.25
Qatar Airways,3,33.77777777777778
Eurowings,3,14.595744680851064
Virgin Atlantic,3,30.96875
American Airlines,3,54.0
Air Canada,3,21.444444444444443
Loganair,3,21.5
Emirates,3,40.0
Iberia,3,43.75
Singapore Airlines,3,31.0
Etihad Airways,3,30.0
Japan Airlines,3,36.5
Egyptair,3,68.33333333333333
Air India,3,45.8
Saudia,3,28.4
Gulf Air,3,40.0
Vueling,3,31.0
Km Malta Airlines,3,21.0
Malaysia Airlines,3,33.5
Qantas,3,34.0
Aegean Airlines,3,30.2
Cathay Pacific Airways,3,55.0
Thai Airways,3,21.5
Mea,3,35.0
