departure_city,destination_city,country,date_arrive,arrival_time_difference,arrival_status,airline,airline_type,cleaned_airline
Tbilisi,Berlin,Georgia,2024-07-01,43,Delayed,Eurowings (EW),budget,Eurowings
Izmir ADB,Berlin,Turkey,2024-07-01,-20,Early,Sun Express (XQ),budget,Sun Express
Beijing,Berlin,China,2024-07-01,40,Delayed,Hainan Airlines (HU),premium,Hainan Airlines
Gaziantep,Berlin,Turkey,2024-07-01,310,Delayed,Sun Express (XQ),budget,Sun Express
New York EWR,Berlin,United States,2024-07-01,106,Delayed,United Airlines (UA),premium,United Airlines
Doha,Berlin,Qatar,2024-07-01,-19,Early,Qatar Airways (QR),premium,Qatar Airways
Stuttgart,Berlin,Germany,2024-07-01,-9,Early,Eurowings (EW),budget,Eurowings
Frankfurt,Berlin,Germany,2024-07-01,-2,Early,Lufthansa (LH),premium,Lufthansa
Dusseldorf,Berlin,Germany,2024-07-01,-12,Early,Eurowings (EW),budget,Eurowings
Riga,Berlin,Latvia,2024-07-01,-2,Early,Air Baltic (BT),premium,Air Baltic
Cologne/Bonn,Berlin,Germany,2024-07-01,-7,Early,Eurowings (EW),budget,Eurowings
New York JFK,Berlin,United States,2024-07-01,-7,Early,Delta Air Lines (DL),premium,Delta Air Lines
Vilnius,Berlin,Lithuania,2024-07-01,-14,Early,Ryanair (FR),budget,Ryanair
Frankfurt,Berlin,Germany,2024-07-01,0,Cancelled,Lufthansa (LH),premium,Lufthansa
Strasbourg,Berlin,France,2024-07-01,-20,Early,Volotea Airlines (VOE),budget,Volotea Airlines
Helsinki,Berlin,Finland,2024-07-01,-12,Early,Finnair (AY),premium,Finnair
Saarbrücken,Berlin,Germany,2024-07-01,153,Delayed,Danish Air Transport (DX),premium,Danish Air Transport
Stockholm ARN,Berlin,Sweden,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Luxembourg,Berlin,Luxembourg,2024-07-01,-7,Early,Luxair (LG),premium,Luxair
Munich,Berlin,Germany,2024-07-01,-4,Early,Lufthansa (LH),premium,Lufthansa
Vienna,Berlin,Austria,2024-07-01,-2,Early,Austrian Airlines (OS),premium,Austrian Airlines
Marsa Alam,Berlin,Egypt,2024-07-01,-15,Early,Air Cairo (SM),budget,Air Cairo
Amsterdam,Berlin,Netherlands,2024-07-01,-2,Early,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Kutaisi,Berlin,Georgia,2024-07-01,-27,Early,Wizz Air (W6),budget,Wizz Air
Oslo,Berlin,Norway,2024-07-01,37,Delayed,Norwegian Air Shuttle (DY),budget,Norwegian Air Shuttle
Milan LIN,Berlin,Italy,2024-07-01,-15,Early,easyJet Europe (EJU),budget,Easyjet Europe
Antalya,Berlin,Turkey,2024-07-01,74,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Paris CDG,Berlin,France,2024-07-01,-3,Early,Air France (AF),premium,Air France
Belgrade,Berlin,Serbia,2024-07-01,136,Delayed,Air Serbia (JU),premium,Air Serbia
Paphos,Berlin,Cyprus,2024-07-01,20,Delayed,Ryanair (FR),budget,Ryanair
Zurich,Berlin,Switzerland,2024-07-01,3,Delayed,Swiss (LX),premium,Swiss
Copenhagen,Berlin,Denmark,2024-07-01,-14,Early,easyJet Europe (EJU),budget,Easyjet Europe
Frankfurt,Berlin,Germany,2024-07-01,-2,Early,Lufthansa (LH),premium,Lufthansa
Edinburgh,Berlin,United Kingdom,2024-07-01,9,Delayed,Ryanair (FR),budget,Ryanair
London LTN,Berlin,United Kingdom,2024-07-01,3,Delayed,easyJet UK (U2),budget,Easyjet Uk
Birmingham,Berlin,United Kingdom,2024-07-01,-10,Early,easyJet UK (U2),budget,Easyjet Uk
Munich,Berlin,Germany,2024-07-01,9,Delayed,Lufthansa (LH),premium,Lufthansa
London STN,Berlin,United Kingdom,2024-07-01,5,Delayed,Ryanair (FR),budget,Ryanair
Heraklion,Berlin,Greece,2024-07-01,-9,Early,Corendon Airlines Europe (CXI),budget,Corendon Airlines Europe
Istanbul IST,Berlin,Turkey,2024-07-01,54,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Dusseldorf,Berlin,Germany,2024-07-01,-9,Early,Eurowings (EW),budget,Eurowings
Cologne/Bonn,Berlin,Germany,2024-07-01,51,Delayed,Eurowings (EW),budget,Eurowings
Copenhagen,Berlin,Denmark,2024-07-01,0,On Time,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
London LGW,Berlin,United Kingdom,2024-07-01,-31,Early,easyJet UK (U2),budget,Easyjet Uk
Amsterdam,Berlin,Netherlands,2024-07-01,-17,Early,easyJet Europe (EJU),budget,Easyjet Europe
Manchester,Berlin,United Kingdom,2024-07-01,0,On Time,easyJet UK (U2),budget,Easyjet Uk
Zurich,Berlin,Switzerland,2024-07-01,-28,Early,easyJet Europe (EJU),budget,Easyjet Europe
Tel Aviv,Berlin,Israel,2024-07-01,5,Delayed,EL AL- Israel Airlines (LY),premium,El Al- Israel Airlines
Tunis,Berlin,Tunisia,2024-07-01,7,Delayed,Nouvelair Tunisie (BJ),budget,Nouvelair Tunisie
Stuttgart,Berlin,Germany,2024-07-01,-1,Early,Eurowings (EW),budget,Eurowings
Frankfurt,Berlin,Germany,2024-07-01,-5,Early,Lufthansa (LH),premium,Lufthansa
Barcelona,Berlin,Spain,2024-07-01,-31,Early,Vueling Airlines (VY),budget,Vueling Airlines
Munich,Berlin,Germany,2024-07-01,30,Delayed,Lufthansa (LH),premium,Lufthansa
Zurich,Berlin,Switzerland,2024-07-01,7,Delayed,Swiss (LX),premium,Swiss
Antalya,Berlin,Turkey,2024-07-01,-6,Early,Sun Express (XQ),budget,Sun Express
London LHR,Berlin,United Kingdom,2024-07-01,-6,Early,British Airways (BA),premium,British Airways
Vienna,Berlin,Austria,2024-07-01,-4,Early,Austrian Airlines (OS),premium,Austrian Airlines
Zadar,Berlin,Croatia,2024-07-01,-5,Early,Ryanair (FR),budget,Ryanair
Warsaw,Berlin,Poland,2024-07-01,2,Delayed,LOT Polish Airlines (LO),premium,Lot Polish Airlines
Erbil,Berlin,Iraq,2024-07-01,29,Delayed,UR Airlines (UBD),budget,Ur Airlines
Madrid,Berlin,Spain,2024-07-01,-18,Early,IBERIA Express (IBS),budget,Iberia Express
Singapore,Berlin,Singapore,2024-07-01,44,Delayed,Scoot (TR),budget,Scoot
Athens,Berlin,Greece,2024-07-01,4,Delayed,Aegean Airlines (A3),premium,Aegean Airlines
Antalya,Berlin,Turkey,2024-07-01,2,Delayed,Freebird Airlines (FHY),budget,Freebird Airlines
Marseille,Berlin,France,2024-07-01,-4,Early,Ryanair (FR),budget,Ryanair
Brussels,Berlin,Belgium,2024-07-01,-4,Early,Brussels Airlines (SN),premium,Brussels Airlines
Marrakech,Berlin,Morocco,2024-07-01,13,Delayed,Ryanair (FR),budget,Ryanair
Frankfurt,Berlin,Germany,2024-07-01,6,Delayed,Lufthansa (LH),premium,Lufthansa
Rome FCO,Berlin,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Dublin,Berlin,Ireland,2024-07-01,44,Delayed,Ryanair (FR),budget,Ryanair
London LCY,Berlin,United Kingdom,2024-07-01,-17,Early,British Airways (BA),premium,British Airways
