departure_city,destination_city,country,date_depart,departure_time_difference,departure_status,airline,airline_type,cleaned_airline
Berlin,Palma de Mallorca,Spain,2024-07-01,0,On Time,SUNDAIR (SDR),budget,Sundair
Berlin,Ibiza,Spain,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Palma de Mallorca,Spain,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Zurich,Switzerland,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Palma de Mallorca,Spain,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Marseille,France,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Dublin,Ireland,2024-07-01,20,Delayed,Ryanair (FR),budget,Ryanair
Berlin,Amsterdam,Netherlands,2024-07-01,0,On Time,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Berlin,Lisbon,Portugal,2024-07-01,0,On Time,TAP Air Portugal (TP),premium,Tap Air Portugal
Berlin,Thessaloniki,Greece,2024-07-01,25,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Copenhagen,Denmark,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Amsterdam,Netherlands,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Rome FCO,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Paris CDG,France,2024-07-01,5,Delayed,Air France (AF),premium,Air France
Berlin,Malaga,Spain,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Dusseldorf,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Munich,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Kos,Greece,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Paris Orly,France,2024-07-01,0,On Time,Transavia France (TO),budget,Transavia France
Berlin,Cologne/Bonn,Germany,2024-07-01,25,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Stuttgart,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Zadar,Croatia,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,London LCY,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Brussels,Belgium,2024-07-01,0,On Time,Brussels Airlines (SN),premium,Brussels Airlines
Berlin,Istanbul IST,Turkey,2024-07-01,0,On Time,Turkish Airlines (TK),premium,Turkish Airlines
Berlin,Geneva,Switzerland,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Vienna,Austria,2024-07-01,0,On Time,Austrian Airlines (OS),premium,Austrian Airlines
Berlin,London LHR,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Chania,Greece,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Madrid,Spain,2024-07-01,0,On Time,IBERIA Express (IBS),budget,Iberia Express
Berlin,Zurich,Switzerland,2024-07-01,0,On Time,Swiss (LX),premium,Swiss
Berlin,Heraklion,Greece,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Munich,Germany,2024-07-01,170,Delayed,Lufthansa (LH),premium,Lufthansa
Berlin,Izmir ADB,Turkey,2024-07-01,0,On Time,Sun Express (XQ),budget,Sun Express
Berlin,Rhodos,Greece,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Vienna,Austria,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Zurich,Switzerland,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Antalya,Turkey,2024-07-01,25,Delayed,Sun Express (XQ),budget,Sun Express
Berlin,Olbia,Italy,2024-07-01,45,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Stuttgart,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Cologne/Bonn,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Dusseldorf,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Vilnius,Lithuania,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Riga,Latvia,2024-07-01,15,Delayed,Air Baltic (BT),premium,Air Baltic
Berlin,Milan LIN,Italy,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Strasbourg,France,2024-07-01,0,On Time,Volotea Airlines (VOE),budget,Volotea Airlines
Berlin,Stockholm ARN,Sweden,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Luxembourg,Luxembourg,2024-07-01,0,On Time,Luxair (LG),premium,Luxair
