Airline,Type
Sun Express (XQ),budget
Hainan Airlines (HU),premium
United Airlines (UA),premium
Fly One (FIA),budget
Qatar Airways (QR),premium
Ryanair (FR),budget
easyJet Switzerland (DS),budget
Delta Air Lines (DL),premium
Lufthansa (LH),premium
Aero Services Executive (W4),premium
Wizz Air (W6),budget
Austrian Airlines (OS),premium
KLM Royal Dutch Airlines (KL),premium
easyJet Europe (EJU),budget
Pegasus Airlines (PC),budget
Air France (AF),premium
Swiss (LX),premium
Norwegian Air Shuttle (DY),budget
Turkish Airlines (TK),premium
EL AL- Israel Airlines (LY),premium
Air Baltic (BT),premium
Aer Lingus (EI),premium
Croatia Airlines (OU),premium
Vueling Airlines (VY),budget
(BQ),budget
SAS-Scandinavian Airlines System (SK),premium
British Airways (BA),premium
LOT Polish Airlines (LO),premium
IBERIA Express (IBS),budget
Azerbaijan Airlines (J2),premium
Scoot (TR),budget
Aegean Airlines (A3),premium
Brussels Airlines (SN),premium
Eurowings (EW),budget
Freebird Airlines (FHY),budget
(VF),budget
easyJet UK (U2),budget
(OG),budget
SUNDAIR (SDR),budget
AtlasGlobal (KK),premium
TAP Air Portugal (TP),premium
Finnair (AY),premium
Icelandair (FI),premium
(N0),budget
Egypt Air (MS),premium
Transavia France (TO),budget
Norwegian Air (D8),budget
Israir (6H),premium
Air Serbia (JU),premium
Danish Air Transport (DX),premium
Luxair (LG),premium
Air Malta (KM),premium
Bulgaria Air (FB),premium
Volotea Airlines (VOE),budget
Air Cairo (SM),budget
Corendon Airlines Europe (CXI),budget
Nouvelair Tunisie (BJ),budget
UR Airlines (UBD),budget
Ryanair UK (RUK),budget
TUI fly (Netherlands) (OR),budget
TUI fly (Belgium) (TB),budget
Georgian Airways (A9),premium
ARKIA Israeli Airlines (IZ),premium
Edelweiss Air AG (WK),premium
(IV),budget
Nesma Airlines (NE),budget
Star East Airlines (SEK),budget
Zimex Aviation (XM),premium
Corendon Airlines (CAI),budget
Eagle Aviation GmbH (GER),premium
(6K),budget
Enter Air (ENT),budget
(TLJ),budget
Amelia International (AEH),budget
Eastern Airways (T3),premium
Titan Airways (ZT),premium
Air Europa (UX),premium
Alba Star (LAV),budget
Pan Européenne Air Service (EUP),premium
IBERIA (IB),premium
Malta Air (MAY),budget
TAP AIR PORTUGAL,premium
STP AIRWAYS,premium
WIZZ AIR HUNGARY,budget
KLM,premium
EASYJET EUROPE,budget
AZORES AIRLINES,premium
SWISS INTERNATIONAL,premium
TRANSAVIA FRANCE,budget
RYANAIR,budget
AIR EUROPA,premium
AIR TRANSAT,budget
VUELING AIRLINES,budget
TRANSAVIA,budget
TAAG,premium
TAM LINHAS AÉREAS,premium
AZUL LINHAS AEREAS,budget
NORWEGIAN AIR,budget
EASYJET AIRLINES,budget
BEIJING CAPITAL,premium
EASYJET SWITZERLAND,budget
WORLD2FLY PORTUGAL,budget
AIR BALTIC,budget
TACV,budget
ORBEST,budget
WIZZ AIR UK,budget
SMARTWINGS A.S.,budget
PEGASUS AIRLINES,budget
NOUVELAIR,budget
FLYONE,budget
LAM,budget
NORWEGIAN AIR SWEDEN,budget
AIR NOSTRUM,premium
LUXAIR,premium
AIR ALBANIA,budget
"HI FLY, LTD (MALTA)",budget
VOLOTEA,budget
WIZZ AIR MALTA,budget
FLYPLAY,budget
JET2.COM,budget
JETTIME A/S,budget
NEOS,budget
ISRAIR AIRLINES,budget
RYANAIR UK,budget
Virgin Atlantic,premium
Qantas,premium
British Airways,premium
Cathay Pacific Airways,premium
Malaysia Airlines,premium
United Airlines,premium
Singapore Airlines,premium
American Airlines,premium
Delta Air Lines,premium
Qatar Airways,premium
Japan Airlines,premium
Air Canada,premium
JetBlue,budget
Saudia,premium
Etihad Airways,premium
Gulf Air,premium
Emirates,premium
Thai Airways,premium
Eurowings,budget
Air India,premium
KLM - Royal Dutch Airlines,premium
Lufthansa,premium
Air France,premium
Swiss International Airlines,premium
Aer Lingus,premium
Loganair,budget
Austrian,premium
Iberia,premium
Egyptair,premium
SAS - Scandinavian Airlines,premium
RwandAir,premium
Vueling,budget
Finnair,premium
LOT Polish Airlines,premium
KM Malta Airlines,premium
Turkish Airlines,premium
Brussels Airlines,premium
TAP Portugal,premium
Aegean Airlines,premium
MEA,premium
Icelandair,premium
WestJet,premium
Air Serbia,premium
El Al,premium
Tarom,premium
Kuwait Airways,premium
LATAM Airlines,premium
Royal Jordanian,premium
Avianca,premium
Aeromexico,premium
Kenya Airways,premium
ANA,premium
China Airlines,premium
Bulgaria Air,premium
Royal Air Maroc,premium
Ethiopian Airlines,premium
Air Algerie,premium
Vietnam Airlines,premium
Korean Air,premium
Air China,premium
China Southern,premium
China Eastern,premium
Asiana Airlines,premium
Oman Air,premium
Croatia Airlines,premium
EVA Air,premium
Hainan Airlines,premium
Beijing Capital Airlines,budget
Shenzhen Airlines,budget
Sri Lankan Airlines,premium
Vistara,premium
Uzbekistan Airways,premium
Iran Air,premium
Air Astana,premium
Tunisair,budget
Azerbaijan Airlines,premium
Royal Brunei Airlines,premium
Biman Bangladesh Airlines,premium
Tianjin Airlines,budget
